Asignar a cada código del catálogo de artículos de especificaciones, los agrupadores correspondientes.
Los agrupadores están relacionados jerárquicamente entre sí en el siguiente 

orden: GrupoCont, GrupoMayor y GrupoMenor.

'Tabla ArtGrupoMayor'

GrupoCont	GrupoMayor	Descripcion
100	AUTO	AUTOMOVILES
100	MAMBA	MAMBA
100	PICKUP	PICKUPS
100	SUV	SUVS
100	TRACTO	TRACTOCAMION
200	AUTO	AUTOMOVILES
200	PICKUP	PICKUPS
200	SUV	SUVS
200	TRACTO	TRACTOCAMION
300	BLIND	BLINDAJES
305	MAQU	MAQUINADOS
305	P5-KIT-COR	P5 KIT DE CORTE
305	P5-MAQU	P5 MAQUINADOS
400	ACC BLIND	ACCESORIOS DE BLINDAJES
500	ACCE	ACCESORIOS VARIOS
500	ACEI	ACEITES, GRASAS Y LUBRICANTES
500	ACER	ACEROS
500	AFIN	AFINACION
500	CLIM	CLIMA Y CALEFACCION
500	COMB	SIST COMBUSTIBLE, ESCAPE Y EMISIONES
500	CORT	CORTE LASER Y DOBLEZ
500	CRIS	CRISTALES
500	CYC	COLISION Y CARROCERIA
500	DETA	DETALLADO
500	DIFE	DIFERENCIAL
500	DIRE	DIRECCION
500	ELEC	ELECTRICO
500	ENFR	SIST ENFRIAMIENTO
500	FERR	FERRETERIA
500	FREN	FRENOS
500	HERR	HERRAMIENTAS
500	KTPS	KITS TPS
500	LIMP	LIMPIEZA
500	LOGI	LOGISTICA
500	MAQU	MAQUINADOS
500	MOTO	MOTOR
500	PENDIENTE	POR DEFINIR GRUPO MAYOR
500	PINT	PINTURA
500	RUED	RUEDAS Y LLANTAS
500	SINI	SINIESTROS
500	SINT	SINTETICOS
500	SOLD	SOLDADURA
500	SUSP	SUSPENSION
500	TORN	TORNILLERIA
500	TOT TALLER	TRABAJO EN OTROS TALLERES PARA TALLERES
500	TRAN	TRANSMISION
500	VARI	VARIOS
505	P5-ACER	P5 PLACA DE ACERO
505	PENDIENTE	P5 POR DEFINIR GRUPO MAYOR
600	STOT	TOTS EN TALLER SERVICIO
600	TOT TALLER	TRABAJO EN OTROS TALLERES PARA TALLERES
601	TOT PLANTA	TRABAJOS EN OTROS TALLERES PARA PLANTAS
701	COMP	COMPONENTE DE ESPECIFICACION
800	PROY	PROYECTO ARQUITECTONICO
900	RENT	ARTÍCULO DE RENTAS

'Tabla ArtGrupoMenor'

GrupoCont	GrupoMayor	GrupoMenor	Descripcion
500	SUSP	JUNT	JUNTAS
500	SUSP	MANG	MANGUERAS
500	SUSP	MAZA	MAZAS
500	SUSP	MUEL	MUELLES
500	SUSP	REAR	REAR
500	SUSP	RESO	RESORTES
500	SUSP	ROTU	ROTULAS
500	SUSP	SEPA	SEPARADORES
500	SUSP	SOPO	SOPORTES
500	SUSP	SUSP	SUSPENSION DEL. Y TRAS.
500	SUSP	TERM	TERMINALES
500	SUSP	TIRA	TIRANTES
500	SUSP	TOPE	TOPES
500	TORN	GRAP	GRAPAS Y PIJAS
500	TORN	HUAS	HUASAS
500	TORN	TORN	TORNILOS
500	TORN	TUER	TUERCAS
500	TRAN	CAJA	CAJA DE TRANSFERENCIA
500	TRAN	CEDA	CEDAZOS
500	TRAN	EMPA	EMPAQUES
500	TRAN	RADI	RADIADORES
500	TRAN	RETE	RETENES
500	TRAN	SOPO	SOPORTES
500	TRAN	TRAN	TRANSMISIONES
500	TRAN	TUBO	TUBOS
500	TRAN	VARI	VARIOS
500	VARI	HERR	HERRAMIENTA NEUMATICA HN_CP9113G
500	VARI	MAQU	MAQUINA DE COSTURA
500	VARI	PANT	PANTOGRAFO
500	VARI	PIST	PISTOLA GRACO
500	VARI	PLAS	PLASMA
500	VARI	POLE	POLEA
500	VARI	POLI	POLIPASTOS
500	VARI	PREN	PRENSA
500	VARI	PULI	PULIDORA D28114
500	VARI	REAC	REACTOR
500	VARI	RECU	RECUPERADORA DE REFRIGERANTE



Catalogo de Especificaciones

Seccion	SeccionDesc	SeccionOden	SubSeccion	SubSeccionDesc	SubSeccionOrden	Componente	Descripcion
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	10                  	Altura de Eje Delantero Izquierdo
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	100                 	Peso del Eje Trasero Blindado
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	2                   	SAND CAT CORTO
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	20                  	Altura de Eje Delantero Derecho
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	3                   	QRV 5 PASAJEROS
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	30                  	Altura de Eje Trasero Izquierdo
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	4                   	SAND CAT LARGO
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	40                  	Altura de Eje Trasero Derecho
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	5                   	ALACRAN
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	50                  	Peso Original del Vehiculo
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	6                   	COBRA
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	60                  	Peso Original del Eje Trasero
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	7                   	PUMA
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	70                  	Peso de Cristales
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	71                  	Capacidad de carga
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	8                   	PITBULL
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	80                  	Peso de Blindaje y Accesorios
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	9                   	RHINO
01	INFORMACIÓN GENERAL	1	01	INFORMACIÓN GENERAL	1	90                  	Peso Total del Vehiculo Blindado
02	BLINDAJE OPACO	2	02	INFORMACION DE BLINDAJE	2	110                 	Tipo de blindaje
02	BLINDAJE OPACO	2	02	INFORMACION DE BLINDAJE	2	120                 	Tipo de traslape
02	BLINDAJE OPACO	2	02	INFORMACION DE BLINDAJE	2	121                 	Canal de quemacocos
02	BLINDAJE OPACO	2	02	INFORMACION DE BLINDAJE	2	130                 	Disposicion de quemacocos
02	BLINDAJE OPACO	2	02	INFORMACION DE BLINDAJE	2	140                 	Canal de quemacocos
02	BLINDAJE OPACO	2	03	TECHO	3	150                 	Blindaje en techo
02	BLINDAJE OPACO	2	03	TECHO	3	151                 	Escotilla giratoria en techo / fija
02	BLINDAJE OPACO	2	03	TECHO	3	152                 	Escotilla fija en techo
02	BLINDAJE OPACO	2	03	TECHO	3	153                 	Tapa de escotilla
02	BLINDAJE OPACO	2	03	TECHO	3	154                 	Laterales de tapa de escotilla
02	BLINDAJE OPACO	2	03	TECHO	3	155                 	Techo cabina principal
02	BLINDAJE OPACO	2	03	TECHO	3	156                 	COMPLEMENTO DE ESCOTILLA
02	BLINDAJE OPACO	2	03	TECHO	3	157                 	Escotilla giratoria en techo
02	BLINDAJE OPACO	2	03	TECHO	3	160                 	Roll bar en techo
02	BLINDAJE OPACO	2	03	TECHO	3	170                 	Corona
02	BLINDAJE OPACO	2	03	TECHO	3	171                 	Traslape en techo
02	BLINDAJE OPACO	2	03	TECHO	3	172                 	Corona de techo
02	BLINDAJE OPACO	2	03	TECHO	3	173                 	Traslape en corona
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	180                 	Placa debajo de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	190                 	Proteccion de resaque de camara de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	191                 	Proteccion de camara de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	198                 	Marco de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	199                 	Cajon desmontable marco de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	200                 	1er marco de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	210                 	2do marco de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	211                 	2do marco de parabrisas lateral desmontable
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	219                 	Tapa de tronera
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	220                 	Toldo de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	221                 	Toldo en area de carga
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	230                 	Tolva inferior de parabrisas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	231                 	Tolva inferior de parabrisas exterior
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	232                 	Marco de parabrisas en ceja superior
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	233                 	Base central marco ws (tolva)
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	234                 	Tolva lado piloto
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	235                 	Complemento de tolva lado piloto
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	236                 	Tolva lado copiloto
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	237                 	Complemento de tolva lado copiloto
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	238                 	Trampa de clima
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	239                 	Pared de fuego por área de motor
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	240                 	Pared de fuego
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	241                 	Faldones laterales
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	242                 	Traslapes de union de placas
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	243                 	Union pared de fuego
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	244                 	Proteccion de luces principales en frente
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	245                 	Union pared de fuego pared laterl
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	246                 	Refuerzo de piecera
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	247                 	Complemento de faldon
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	248                 	Pared de fuego central
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	249                 	Pared de fuego piloto
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	250                 	Entrada de Aire a Sistema de A/C
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	251                 	Entrada de Aire a Sistema de A/C EXTERIOR
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	252                 	Pared de fuego copiloto
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	253                 	Complemento de piso de pared de fuego
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	254                 	Frente
02	BLINDAJE OPACO	2	04	TOLVA DE PARABRISAS Y PARED DE FUEGO	4	255                 	Parrilla
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	280                 	Poste A inferior
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	281                 	Poste A inferior exterior
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	282                 	Poste A inferior pegado y atornillado
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	283                 	Poste A inferior copiloto
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	285                 	Poste A inferior piloto
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	286                 	Complemento de poste A
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	290                 	Poste A superior
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	291                 	Poste A superior pegado y atornillado
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	292                 	Poste A superior con traslape
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	293                 	Poste A inferior con traslape
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	294                 	Poste A tapa
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	295                 	Poste A
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	300                 	Poste B, C y D
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	301                 	Poste B y C
02	BLINDAJE OPACO	2	05	POSTES, BISELES Y PISO	5	302                 	Poste B, C y D en base de postes
